COUNTRY,YEAR,EVENTS,CATEGORY
Afghanistan,2025,794,High
Albania,2025,3,Very Low
Algeria,2025,23,Low
Angola,2025,53,Moderate
Antigua and Barbuda,2025,1,Very Low
Argentina,2025,19,Low
Armenia,2025,135,Moderate
Aruba,2025,1,Very Low
Australia,2025,2,Very Low
Austria,2025,2,Very Low
Azerbaijan,2025,28,Low
Bahamas,2025,1,Very Low
Bahrain,2025,12,Low
Bangladesh,2025,1104,Extreme
Belarus,2025,15,Low
Belgium,2025,10,Low
Belize,2025,66,Moderate
Benin,2025,177,Moderate
Bhutan,2025,1,Very Low
Bolivia,2025,115,Moderate
Bosnia and Herzegovina,2025,18,Low
Botswana,2025,6,Very Low
Brazil,2025,10213,Extreme
Bulgaria,2025,2,Very Low
Burkina Faso,2025,1371,Extreme
Burundi,2025,240,Moderate
Cambodia,2025,17,Low
Cameroon,2025,3456,Extreme
Canada,2025,4,Very Low
Central African Republic,2025,646,High
Chad,2025,165,Moderate
Chile,2025,158,Moderate
China,2025,167,Moderate
Colombia,2025,2870,Extreme
Comoros,2025,11,Low
Costa Rica,2025,16,Low
Croatia,2025,11,Low
Cuba,2025,47,Moderate
Cyprus,2025,37,Moderate
Czech Republic,2025,5,Very Low
Democratic Republic of Congo,2025,3412,Extreme
Dominican Republic,2025,23,Low
East Timor,2025,1,Very Low
Ecuador,2025,3308,Extreme
Egypt,2025,48,Moderate
El Salvador,2025,19,Low
Eritrea,2025,1,Very Low
Estonia,2025,1,Very Low
Ethiopia,2025,2264,Extreme
France,2025,95,Moderate
Gabon,2025,6,Very Low
Gambia,2025,5,Very Low
Georgia,2025,23,Low
Germany,2025,73,Moderate
Ghana,2025,251,Moderate
Greece,2025,100,Moderate
Guatemala,2025,482,High
Guinea,2025,78,Moderate
Guinea-Bissau,2025,4,Very Low
Guyana,2025,10,Low
Haiti,2025,1203,Extreme
Honduras,2025,503,High
Hungary,2025,8,Low
India,2025,2951,Extreme
Indonesia,2025,622,High
Iran,2025,620,High
Iraq,2025,2572,Extreme
Ireland,2025,2,Very Low
Israel,2025,216,Moderate
Italy,2025,53,Moderate
Ivory Coast,2025,93,Moderate
Jamaica,2025,279,Moderate
Jordan,2025,9,Low
Kazakhstan,2025,72,Moderate
Kenya,2025,1371,Extreme
Kosovo,2025,11,Low
Kyrgyzstan,2025,47,Moderate
Laos,2025,2,Very Low
Latvia,2025,3,Very Low
Lebanon,2025,2054,Extreme
Lesotho,2025,1,Very Low
Liberia,2025,27,Low
Libya,2025,359,High
Lithuania,2025,1,Very Low
Madagascar,2025,313,High
Malawi,2025,82,Moderate
Malaysia,2025,9,Low
Mali,2025,1594,Extreme
Malta,2025,2,Very Low
Martinique,2025,2,Very Low
Mauritania,2025,15,Low
Mauritius,2025,18,Low
Mayotte,2025,24,Low
Mexico,2025,8112,Extreme
Moldova,2025,7,Low
Montenegro,2025,9,Low
Morocco,2025,50,Moderate
Mozambique,2025,425,High
Myanmar,2025,11029,Extreme
Namibia,2025,3,Very Low
Nepal,2025,147,Moderate
Netherlands,2025,10,Low
Nicaragua,2025,10,Low
Niger,2025,549,High
Nigeria,2025,5219,Extreme
North Korea,2025,1,Very Low
North Macedonia,2025,4,Very Low
Norway,2025,2,Very Low
Pakistan,2025,3649,Extreme
Palestine,2025,14896,Extreme
Panama,2025,7,Low
Papua New Guinea,2025,179,Moderate
Paraguay,2025,7,Low
Peru,2025,260,Moderate
Philippines,2025,530,High
Poland,2025,75,Moderate
Portugal,2025,3,Very Low
Puerto Rico,2025,200,Moderate
Qatar,2025,2,Very Low
Republic of Congo,2025,6,Very Low
Reunion,2025,4,Very Low
Romania,2025,8,Low
Russia,2025,16725,Extreme
Rwanda,2025,8,Low
Saudi Arabia,2025,5,Very Low
Senegal,2025,27,Low
Serbia,2025,125,Moderate
Sierra Leone,2025,11,Low
Slovakia,2025,5,Very Low
Slovenia,2025,6,Very Low
Somalia,2025,4438,Extreme
South Africa,2025,196,Moderate
South Korea,2025,3,Very Low
South Sudan,2025,1725,Extreme
Spain,2025,33,Moderate
Sri Lanka,2025,67,Moderate
Sudan,2025,3921,Extreme
Suriname,2025,2,Very Low
Sweden,2025,4,Very Low
Switzerland,2025,2,Very Low
Syria,2025,6598,Extreme
Tajikistan,2025,5,Very Low
Tanzania,2025,188,Moderate
Thailand,2025,289,High
Togo,2025,18,Low
Trinidad and Tobago,2025,263,Moderate
Tunisia,2025,16,Low
Turkey,2025,50,Moderate
Turkmenistan,2025,5,Very Low
Uganda,2025,279,Moderate
Ukraine,2025,75803,Extreme
United Arab Emirates,2025,3,Very Low
United Kingdom,2025,16,Low
United States,2025,111,Moderate
Uzbekistan,2025,28,Low
Venezuela,2025,350,High
Yemen,2025,3808,Extreme
Zambia,2025,33,Moderate
Zimbabwe,2025,23,Low
eSwatini,2025,7,Low
